
    1.000000      0.2500000E-02
   0.9997508      0.3445811E-02
   0.9990034      0.4388190E-02
   0.9977586      0.5326206E-02
   0.9960177      0.6258939E-02
   0.9937823      0.7185477E-02
   0.9910547      0.8104922E-02
   0.9878375      0.9016387E-02
   0.9841342      0.9918997E-02
   0.9799482      0.1081189E-01
   0.9752837      0.1169423E-01
   0.9701456      0.1256516E-01
   0.9645387      0.1342389E-01
   0.9584688      0.1426961E-01
   0.9519419      0.1510153E-01
   0.9449645      0.1591888E-01
   0.9375435      0.1672091E-01
   0.9296864      0.1750689E-01
   0.9214009      0.1827610E-01
   0.9126954      0.1902783E-01
   0.9035786      0.1976141E-01
   0.8940594      0.2047616E-01
   0.8841474      0.2117145E-01
   0.8738525      0.2184665E-01
   0.8631849      0.2250115E-01
   0.8521553      0.2313436E-01
   0.8407746      0.2374571E-01
   0.8290543      0.2433465E-01
   0.8170059      0.2490065E-01
   0.8046416      0.2544320E-01
   0.7919736      0.2596182E-01
   0.7790145      0.2645604E-01
   0.7657773      0.2692540E-01
   0.7522752      0.2736948E-01
   0.7385216      0.2778789E-01
   0.7245302      0.2818022E-01
   0.7103150      0.2854614E-01
   0.6958902      0.2888529E-01
   0.6812701      0.2919737E-01
   0.6664693      0.2948208E-01
   0.6515026      0.2973915E-01
   0.6363848      0.2996835E-01
   0.6211311      0.3016944E-01
   0.6057567      0.3034224E-01
   0.5902768      0.3048656E-01
   0.5747070      0.3060228E-01
   0.5590626      0.3068926E-01
   0.5433594      0.3074740E-01
   0.5276130      0.3077664E-01
   0.5118391      0.3077694E-01
   0.4960533      0.3074828E-01
   0.4802715      0.3069066E-01
   0.4645094      0.3060411E-01
   0.4487826      0.3048871E-01
   0.4331069      0.3034454E-01
   0.4174978      0.3017171E-01
   0.4019710      0.2997037E-01
   0.3865419      0.2974068E-01
   0.3712260      0.2948285E-01
   0.3560383      0.2919708E-01
   0.3409942      0.2888365E-01
   0.3261086      0.2854281E-01
   0.3113963      0.2817488E-01
   0.2968721      0.2778018E-01
   0.2825503      0.2735907E-01
   0.2684453      0.2691194E-01
   0.2545710      0.2643919E-01
   0.2409415      0.2594125E-01
   0.2275702      0.2541859E-01
   0.2144704      0.2487169E-01
   0.2016553      0.2430106E-01
   0.1891375      0.2370723E-01
   0.1769296      0.2309076E-01
   0.1650438      0.2245223E-01
   0.1534919      0.2179224E-01
   0.1422854      0.2111142E-01
   0.1314354      0.2041041E-01
   0.1209528      0.1968989E-01
   0.1108481      0.1895053E-01
   0.1011313      0.1819306E-01
   0.9181214E-01  0.1741819E-01
   0.8289983E-01  0.1662667E-01
   0.7440330E-01  0.1581928E-01
   0.6633101E-01  0.1499677E-01
   0.5869101E-01  0.1415997E-01
   0.5149092E-01  0.1330967E-01
   0.4473791E-01  0.1244670E-01
   0.3843872E-01  0.1157191E-01
   0.3259962E-01  0.1068615E-01
   0.2722644E-01  0.9790284E-02
   0.2232452E-01  0.8885195E-02
   0.1789877E-01  0.7971769E-02
   0.1395358E-01  0.7050905E-02
   0.1049290E-01  0.6123509E-02
   0.7520164E-02  0.5190496E-02
   0.5038345E-02  0.4252789E-02
   0.3049915E-02  0.3311315E-02
   0.1556855E-02  0.2367007E-02
   0.5606540E-03  0.1420802E-02
   0.6230524E-04  0.4736410E-03
   0.6230524E-04 -0.4736410E-03
   0.5606540E-03 -0.1420802E-02
   0.1556855E-02 -0.2367007E-02
   0.3049915E-02 -0.3311315E-02
   0.5038345E-02 -0.4252789E-02
   0.7520164E-02 -0.5190496E-02
   0.1049290E-01 -0.6123509E-02
   0.1395358E-01 -0.7050905E-02
   0.1789877E-01 -0.7971769E-02
   0.2232452E-01 -0.8885195E-02
   0.2722644E-01 -0.9790284E-02
   0.3259962E-01 -0.1068615E-01
   0.3843872E-01 -0.1157191E-01
   0.4473791E-01 -0.1244670E-01
   0.5149092E-01 -0.1330967E-01
   0.5869101E-01 -0.1415997E-01
   0.6633101E-01 -0.1499677E-01
   0.7440330E-01 -0.1581928E-01
   0.8289983E-01 -0.1662667E-01
   0.9181214E-01 -0.1741819E-01
   0.1011313     -0.1819306E-01
   0.1108481     -0.1895053E-01
   0.1209528     -0.1968989E-01
   0.1314354     -0.2041041E-01
   0.1422854     -0.2111142E-01
   0.1534919     -0.2179224E-01
   0.1650438     -0.2245223E-01
   0.1769296     -0.2309076E-01
   0.1891375     -0.2370723E-01
   0.2016553     -0.2430106E-01
   0.2144704     -0.2487169E-01
   0.2275702     -0.2541859E-01
   0.2409415     -0.2594125E-01
   0.2545710     -0.2643919E-01
   0.2684453     -0.2691194E-01
   0.2825503     -0.2735907E-01
   0.2968721     -0.2778018E-01
   0.3113963     -0.2817488E-01
   0.3261086     -0.2854281E-01
   0.3409942     -0.2888365E-01
   0.3560383     -0.2919708E-01
   0.3712260     -0.2948285E-01
   0.3865419     -0.2974068E-01
   0.4019710     -0.2997037E-01
   0.4174978     -0.3017171E-01
   0.4331069     -0.3034454E-01
   0.4487826     -0.3048871E-01
   0.4645094     -0.3060411E-01
   0.4802715     -0.3069066E-01
   0.4960533     -0.3074828E-01
   0.5118391     -0.3077694E-01
   0.5276130     -0.3077664E-01
   0.5433594     -0.3074740E-01
   0.5590626     -0.3068926E-01
   0.5747070     -0.3060228E-01
   0.5902768     -0.3048656E-01
   0.6057567     -0.3034224E-01
   0.6211311     -0.3016944E-01
   0.6363848     -0.2996835E-01
   0.6515026     -0.2973915E-01
   0.6664693     -0.2948208E-01
   0.6812701     -0.2919737E-01
   0.6958902     -0.2888529E-01
