angle	lam_L	pink_fxi	pink_feta	refl_fxi	refl_feta	blend_fxi	blend_feta	pink_surge_norm	refl_surge_norm	blend_surge_norm
-90.0	0.0835	57504.70	1499900.00	2.00	-1579310.00	2.00	-1579310.00	-0.5579	-0.0000	-0.0000
-90.0	0.0927	57282.00	1487320.00	2.00	-1577360.00	2.00	-1577360.00	-0.5558	-0.0000	-0.0000
-90.0	0.1030	57869.20	1507210.00	2.00	-1574930.00	2.00	-1574930.00	-0.5615	-0.0000	-0.0000
-90.0	0.1145	57997.00	1505990.00	1.99	-1571800.00	1.99	-1571800.00	-0.5627	-0.0000	-0.0000
-90.0	0.1272	59304.00	1482120.00	1.99	-1567650.00	1.99	-1567650.00	-0.5754	-0.0000	-0.0000
-90.0	0.1414	59593.20	1482150.00	1.98	-1562050.00	1.98	-1562050.00	-0.5782	-0.0000	-0.0000
-90.0	0.1571	59313.30	1489940.00	1.97	-1554490.00	1.97	-1554490.00	-0.5755	-0.0000	-0.0000
-90.0	0.1746	59160.00	1483380.00	1.96	-1544370.00	1.96	-1544370.00	-0.5740	-0.0000	-0.0000
-90.0	0.1940	59696.60	1475120.00	1.94	-1531060.00	1.94	-1531060.00	-0.5792	-0.0000	-0.0000
-90.0	0.2155	56586.50	1492480.00	1.92	-1513960.00	1.92	-1513960.00	-0.5490	-0.0000	-0.0000
-90.0	0.2395	53974.40	1498990.00	1.89	-1492530.00	1.89	-1492530.00	-0.5237	-0.0000	-0.0000
-90.0	0.2661	48966.50	1508630.00	1.86	-1466350.00	1.86	-1466350.00	-0.4751	-0.0000	-0.0000
-90.0	0.2957	39746.00	1528120.00	1.82	-1435170.00	1.82	-1435170.00	-0.3856	-0.0000	-0.0000
-90.0	0.3285	22908.50	1565850.00	1.77	-1398950.00	1.77	-1398950.00	-0.2223	-0.0000	-0.0000
-90.0	0.3651	-5923.73	1600590.00	1.72	-1357820.00	1.72	-1357820.00	0.0575	-0.0000	-0.0000
-90.0	0.4056	-56247.00	1663620.00	1.66	-1312110.00	1.66	-1312110.00	0.5457	-0.0000	-0.0000
-90.0	0.4507	-131663.00	1731230.00	1.60	-1262300.00	1.60	-1262300.00	1.2775	-0.0000	-0.0000
-90.0	0.5008	-218141.00	1815650.00	1.53	-1209000.00	1.53	-1209000.00	2.1165	-0.0000	-0.0000
-90.0	0.5565	-279745.00	1935850.00	1.46	-1152910.00	1.46	-1152910.00	2.7143	-0.0000	-0.0000
-90.0	0.6183	-290717.00	2065150.00	1.39	-1094750.00	1.39	-1094750.00	2.8207	-0.0000	-0.0000
-90.0	0.6871	-235636.00	1970380.00	1.31	-1035290.00	1.31	-1035290.00	2.2863	-0.0000	-0.0000
-90.0	0.7634	-135761.00	1473240.00	1.24	-975239.00	1.24	-975239.00	1.3172	-0.0000	-0.0000
-90.0	0.8483	-57097.30	869386.00	1.16	-915273.00	1.16	-915273.00	0.5540	-0.0000	-0.0000
-90.0	0.9426	-23910.70	483575.00	1.09	-856005.00	1.09	-856005.00	0.2320	-0.0000	-0.0000
-90.0	1.0473	-22612.10	269753.00	1.01	-797960.00	1.01	-797960.00	0.2194	-0.0000	-0.0000
-90.0	1.1638	-67049.40	163002.00	0.94	-741588.00	0.94	-741588.00	0.6506	-0.0000	-0.0000
-90.0	1.2931	-214441.00	-129510.00	0.87	-687250.00	0.87	-687250.00	2.0806	-0.0000	-0.0000
-90.0	1.4369	-130515.00	-135101.00	0.81	-635229.00	0.81	-635229.00	1.2663	-0.0000	-0.0000
-90.0	1.5966	-35109.50	-15802.10	0.74	-585729.00	0.74	-585729.00	0.3407	-0.0000	-0.0000
-90.0	1.7740	-12987.40	413.08	0.68	-538889.00	0.68	-538889.00	0.1260	-0.0000	-0.0000
-90.0	1.9712	-5912.28	2562.80	0.63	-494784.00	0.63	-494784.00	0.0574	-0.0000	-0.0000
-90.0	2.1903	-2981.39	2175.26	0.57	-453444.00	0.57	-453444.00	0.0289	-0.0000	-0.0000
-90.0	2.4338	-1564.90	1922.49	0.53	-414849.00	0.53	-414849.00	0.0152	-0.0000	-0.0000
-90.0	2.7043	-851.47	1105.39	0.48	-378950.00	0.48	-378950.00	0.0083	-0.0000	-0.0000
-90.0	3.0049	-434.74	1129.24	0.44	-345667.00	0.44	-345667.00	0.0042	-0.0000	-0.0000
-80.0	0.0835	75238.00	1422600.00	264990.00	-1502820.00	264990.00	-1502820.00	-0.7300	-2.5711	-2.5711
-80.0	0.0927	77580.30	1423180.00	264572.00	-1500450.00	264572.00	-1500450.00	-0.7527	-2.5670	-2.5670
-80.0	0.1030	79907.30	1429840.00	264057.00	-1497530.00	264057.00	-1497530.00	-0.7753	-2.5620	-2.5620
-80.0	0.1145	79234.70	1429840.00	263408.00	-1493850.00	263408.00	-1493850.00	-0.7688	-2.5558	-2.5558
-80.0	0.1272	79529.80	1421060.00	262573.00	-1489110.00	262573.00	-1489110.00	-0.7716	-2.5477	-2.5477
-80.0	0.1414	85858.80	1406310.00	261481.00	-1482920.00	261481.00	-1482920.00	-0.8331	-2.5371	-2.5371
-80.0	0.1571	99388.40	1398780.00	260047.00	-1474790.00	260047.00	-1474790.00	-0.9643	-2.5231	-2.5231
-80.0	0.1746	115705.00	1394060.00	258174.00	-1464160.00	258174.00	-1464160.00	-1.1226	-2.5050	-2.5050
-80.0	0.1940	128337.00	1401850.00	255757.00	-1450460.00	255757.00	-1450460.00	-1.2452	-2.4815	-2.4815
-80.0	0.2155	138421.00	1424590.00	252699.00	-1433120.00	252699.00	-1433120.00	-1.3430	-2.4518	-2.4518
-80.0	0.2395	137680.00	1434840.00	248914.00	-1411650.00	248914.00	-1411650.00	-1.3359	-2.4151	-2.4151
-80.0	0.2661	127693.00	1442730.00	244336.00	-1385690.00	244336.00	-1385690.00	-1.2390	-2.3707	-2.3707
-80.0	0.2957	108805.00	1453200.00	238931.00	-1355040.00	238931.00	-1355040.00	-1.0557	-2.3183	-2.3183
-80.0	0.3285	80430.20	1476250.00	232694.00	-1319660.00	232694.00	-1319660.00	-0.7804	-2.2577	-2.2577
-80.0	0.3651	42590.60	1487110.00	225652.00	-1279730.00	225652.00	-1279730.00	-0.4132	-2.1894	-2.1894
