angle	lam_L	pink_fxi	pink_feta	refl_fxi	refl_feta	blend_fxi	blend_feta	pink_surge_norm	refl_surge_norm	blend_surge_norm
-80.0	0.4507	-247450.00	1406520.00	209414.00	-1187640.00	209414.00	-1187640.00	2.4009	-2.0319	-2.0319
-80.0	0.5008	-286527.00	1435470.00	200405.00	-1136550.00	200405.00	-1136550.00	2.7801	-1.9445	-1.9445
-80.0	0.5565	-291629.00	1571350.00	190954.00	-1082950.00	190954.00	-1082950.00	2.8296	-1.8528	-1.8528
-80.0	0.6183	-249212.00	1705340.00	181184.00	-1027540.00	181184.00	-1027540.00	2.4180	-1.7580	-1.7580
-80.0	0.6871	-161567.00	1566010.00	171219.00	-971027.00	171219.00	-971027.00	1.5676	-1.6613	-1.6613
-80.0	0.7634	-70982.30	1133990.00	161178.00	-914082.00	161178.00	-914082.00	0.6887	-1.5639	-1.5639
-80.0	0.8483	-18826.70	709336.00	151172.00	-857331.00	151172.00	-857331.00	0.1827	-1.4668	-1.4668
-80.0	0.9426	5694.48	435798.00	141299.00	-801339.00	141299.00	-801339.00	-0.0553	-1.3710	-1.3710
-80.0	1.0473	38766.50	288432.00	131645.00	-746589.00	131645.00	-746589.00	-0.3761	-1.2773	-1.2773
-80.0	1.1638	237968.00	132801.00	122282.00	-693491.00	122282.00	-693491.00	-2.3089	-1.1865	-1.1865
-80.0	1.2931	473436.00	-286518.00	113269.00	-642374.00	113269.00	-642374.00	-4.5936	-1.0990	-1.0990
-80.0	1.4369	40585.90	-95436.50	104649.00	-593492.00	104649.00	-593492.00	-0.3938	-1.0154	-1.0154
-80.0	1.5966	-1256.98	-19828.30	96456.20	-547027.00	96456.20	-547027.00	0.0122	-0.9359	-0.9359
-80.0	1.7740	-1797.97	-5414.17	88710.30	-503098.00	88710.30	-503098.00	0.0174	-0.8607	-0.8607
-80.0	1.9712	-1245.84	-1706.02	81422.70	-461768.00	81422.70	-461768.00	0.0121	-0.7900	-0.7900
-80.0	2.1903	-432.89	-388.96	74596.90	-423057.00	74596.90	-423057.00	0.0042	-0.7238	-0.7238
-80.0	2.4338	-245.86	-24.32	68228.70	-386942.00	68228.70	-386942.00	0.0024	-0.6620	-0.6620
-80.0	2.7043	22.36	16.17	62308.80	-353368.00	62308.80	-353368.00	-0.0002	-0.6046	-0.6046
-80.0	3.0049	57.29	187.52	56823.20	-322258.00	56823.20	-322258.00	-0.0006	-0.5513	-0.5513
-70.0	0.0835	-64912.20	1218130.00	474881.00	-1304720.00	474881.00	-1304720.00	0.6298	-4.6076	-4.6076
-70.0	0.0927	-72245.80	1250060.00	473909.00	-1302050.00	473909.00	-1302050.00	0.7010	-4.5982	-4.5982
-70.0	0.1030	-76631.60	1270600.00	472713.00	-1298770.00	472713.00	-1298770.00	0.7435	-4.5866	-4.5866
-70.0	0.1145	-71620.40	1290780.00	471212.00	-1294640.00	471212.00	-1294640.00	0.6949	-4.5720	-4.5720
-70.0	0.1272	-81127.20	1301930.00	469294.00	-1289370.00	469294.00	-1289370.00	0.7871	-4.5534	-4.5534
-70.0	0.1414	-82569.70	1305290.00	466816.00	-1282560.00	466816.00	-1282560.00	0.8011	-4.5293	-4.5293
-70.0	0.1571	-62949.90	1310240.00	463614.00	-1273760.00	463614.00	-1273760.00	0.6108	-4.4983	-4.4983
-70.0	0.1746	-46703.40	1319560.00	459507.00	-1262480.00	459507.00	-1262480.00	0.4531	-4.4584	-4.4584
-70.0	0.1940	-57015.10	1325330.00	454317.00	-1248220.00	454317.00	-1248220.00	0.5532	-4.4081	-4.4081
-70.0	0.2155	-72492.60	1333740.00	447883.00	-1230550.00	447883.00	-1230550.00	0.7034	-4.3456	-4.3456
-70.0	0.2395	-62743.10	1344270.00	440078.00	-1209100.00	440078.00	-1209100.00	0.6088	-4.2699	-4.2699
-70.0	0.2661	-15904.90	1346760.00	430820.00	-1183660.00	430820.00	-1183660.00	0.1543	-4.1801	-4.1801
-70.0	0.2957	56414.40	1328350.00	420084.00	-1154170.00	420084.00	-1154170.00	-0.5474	-4.0759	-4.0759
-70.0	0.3285	130112.00	1281310.00	407899.00	-1120690.00	407899.00	-1120690.00	-1.2624	-3.9577	-3.9577
-70.0	0.3651	180542.00	1175580.00	394353.00	-1083470.00	394353.00	-1083470.00	-1.7517	-3.8263	-3.8263
-70.0	0.4056	192138.00	1021220.00	379579.00	-1042880.00	379579.00	-1042880.00	-1.8642	-3.6829	-3.6829
-70.0	0.4507	169720.00	848830.00	363751.00	-999394.00	363751.00	-999394.00	-1.6467	-3.5293	-3.5293
-70.0	0.5008	133524.00	755966.00	347070.00	-953565.00	347070.00	-953565.00	-1.2955	-3.3675	-3.3675
-70.0	0.5565	101765.00	809201.00	329752.00	-905985.00	329752.00	-905985.00	-0.9874	-3.1995	-3.1995
-70.0	0.6183	75717.60	908095.00	312018.00	-857261.00	312018.00	-857261.00	-0.7347	-3.0274	-3.0274
-70.0	0.6871	48813.90	853712.00	294084.00	-807986.00	294084.00	-807986.00	-0.4736	-2.8534	-2.8534
-70.0	0.7634	19238.40	651277.00	276150.00	-758714.00	276150.00	-758714.00	-0.1867	-2.6794	-2.6794
-70.0	0.8483	-5436.88	451522.00	258401.00	-709948.00	258401.00	-709948.00	0.0528	-2.5072	-2.5072
-70.0	0.9426	-27954.80	308999.00	240998.00	-662134.00	240998.00	-662134.00	0.2712	-2.3383	-2.3383
-70.0	1.0473	-36015.50	209397.00	224076.00	-615642.00	224076.00	-615642.00	0.3494	-2.1741	-2.1741
-70.0	1.1638	131859.00	-128239.00	207748.00	-570781.00	207748.00	-570781.00	-1.2794	-2.0157	-2.0157
-70.0	1.2931	127766.00	-302515.00	192100.00	-527790.00	192100.00	-527790.00	-1.2397	-1.8639	-1.8639
-70.0	1.4369	22580.60	-60437.30	177198.00	-486846.00	177198.00	-486846.00	-0.2191	-1.7193	-1.7193
-70.0	1.5966	11670.10	-17377.70	163084.00	-448070.00	163084.00	-448070.00	-0.1132	-1.5823	-1.5823
-70.0	1.7740	7824.83	-6640.15	149786.00	-411531.00	149786.00	-411531.00	-0.0759	-1.4533	-1.4533
-70.0	1.9712	4800.64	-3461.25	137311.00	-377258.00	137311.00	-377258.00	-0.0466	-1.3323	-1.3323
-70.0	2.1903	3916.14	-1548.91	125658.00	-345242.00	125658.00	-345242.00	-0.0380	-1.2192	-1.2192
-70.0	2.4338	2451.09	-1179.11	114813.00	-315445.00	114813.00	-315445.00	-0.0238	-1.1140	-1.1140
-70.0	2.7043	2077.18	-588.26	104753.00	-287806.00	104753.00	-287806.00	-0.0202	-1.0164	-1.0164
-70.0	3.0049	1350.18	-448.91	95449.70	-262245.00	95449.70	-262245.00	-0.0131	-0.9261	-0.9261
-60.0	0.0835	-21853.10	892391.00	592294.00	-1025880.00	592294.00	-1025880.00	0.2120	-5.7468	-5.7468
-60.0	0.0927	-29418.80	929422.00	590669.00	-1023070.00	590669.00	-1023070.00	0.2854	-5.7310	-5.7310
-60.0	0.1030	-36572.60	961871.00	588611.00	-1019500.00	588611.00	-1019500.00	0.3549	-5.7111	-5.7111
-60.0	0.1145	-37412.70	984172.00	585969.00	-1014930.00	585969.00	-1014930.00	0.3630	-5.6854	-5.6854
-60.0	0.1272	-39905.90	1002040.00	582564.00	-1009030.00	582564.00	-1009030.00	0.3872	-5.6524	-5.6524
-60.0	0.1414	-45514.70	1013980.00	578185.00	-1001440.00	578185.00	-1001440.00	0.4416	-5.6099	-5.6099
-60.0	0.1571	-26650.00	1029170.00	572615.00	-991797.00	572615.00	-991797.00	0.2586	-5.5559	-5.5559
-60.0	0.1746	-35814.90	1037110.00	565641.00	-979718.00	565641.00	-979718.00	0.3475	-5.4882	-5.4882
-60.0	0.1940	-45172.70	1048390.00	557078.00	-964885.00	557078.00	-964885.00	0.4383	-5.4051	-5.4051
